feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
PIGB,DRAP1,187.33915,116.0884,0,0
BECN1,DRAP1,181.49336,110.24261,0,0
LYPD3,DCK,164.62482,107.84588,0,0
MCUR1,LYPD3,160.27428,106.49283,0,0
IKBKB,LYPD3,176.00919,105.29572,0,0
PER2,S100A4,197.36328,105.178,0,0
TIMM9,GYS1,169.92074,102.88507,0,0
TIMELESS,PAX8,146.92207,98.28716,0,0
CAPN1,CA12,149.14943,98.18034,0,0
TARS,CLTB,155.03359,96.23646,0,0
DOK4,RTCA,154.71483,95.90276,0,0
DHPS,C2CD5,171.17512,95.42417,0,0
PARN,RRS1,157.14605,94.65346,0,0
CA12,NCOA3,145.54409,94.575,0,0
TXNDC9,IER3,168.9385,94.09181,0,0
BCL7B,DRAP1,165.02185,93.7711,0,0
SRPRB,DRAP1,164.48497,93.23422,0,0
RAD23B,DRAP1,164.43558,93.18483,1,1
DCTD,DRAP1,164.09791,92.84716,0,0
DNAJB12,BNIP3,168.85337,92.19745,0,0
PSMD10,DRAP1,162.44733,91.19658,0,0
TSTA3,PKIG,174.19702,90.83709,0,0
BNIP3,KIF1BP,167.1931,90.53718,0,0
NOSIP,HK1,183.25676,90.37103,0,0
MTHFD2,DRAP1,163.91642,90.29116,0,0
SNX6,CCDC85B,172.16795,89.42698,0,0
TSTA3,PJA1,173.78452,88.88871,0,0
PYGL,LSR,206.68812,88.81085,0,0
ARL4C,PNP,164.57801,88.80156,0,0
TNFAIP1,DRAP1,178.57161,88.74876,0,0
ITFG1,DRAP1,161.24336,88.73376,0,0
GYS1,NFIL3,158.76357,87.36951,0,0
CGRRF1,BNIP3,163.5139,86.85798,0,0
TXNDC9,CLTB,145.4287,86.84952,0,0
GNB5,RRS1,157.85082,86.12153,0,0
CD44,VPS72,146.44135,85.83627,0,0
COASY,PNP,161.50331,85.72686,1,0
ACD,TM9SF2,167.90985,85.44038,0,0
TXNDC9,GATA2,148.39115,85.16944,0,0
NENF,CAB39,157.61955,84.87584,0,0
TIMM9,RAB1B,155.28062,84.57756,0,0
BNIP3,RRS1,161.23023,84.57431,0,0
MTHFD2,ATP6V1D,158.19311,84.56785,0,0
BAG3,RRS1,147.51594,84.35472,0,0
TSTA3,NFIL3,155.47591,84.08185,0,0
ZBTB5,S100A4,172.93762,83.97694,0,0
IKBKB,CBR3,178.57757,83.84289,0,0
LYPD3,SYNGR3,186.13158,83.77931,0,0
TOR1A,BNIP3,173.59839,83.76648,0,0
KDELR3,TSTA3,146.15743,83.26509,0,0
SQRDL,RRS1,145.43201,82.93942,0,0
BNIP3,PTPN1,159.55516,82.89924,1,0
SCAND1,DRAP1,154.12567,82.87492,1,0
ATP6V1D,PSMG1,155.20656,82.75868,0,0
AARS,DRAP1,157.97033,82.62671,0,0
DHPS,AKAP8,163.8036,82.57903,0,0
GALE,FAM69A,177.12183,82.41738,0,0
RTCA,DRAP1,153.60443,82.35368,0,0
