tcga,additive,additive_perm,competing,competing_perm,xor,xor_perm
TCGA-BLCA,11,3517,87,5770,24,18736
TCGA-BRCA,23,3462,69,5320,38,18199
TCGA-COAD,11,3241,29,5154,15,17913
TCGA-GBM,4,3409,34,5454,25,18022
TCGA-HNSC,58,3095,207,5757,32,18404
TCGA-KIRC,112,2981,1873,7317,161,17224
TCGA-LGG,357,3298,1065,6009,11,18060
TCGA-LIHC,122,3198,56,6225,4,17538
TCGA-LUAD,91,3199,91,5463,23,18431
TCGA-LUSC,4,3652,20,5521,8,18835
TCGA-OV,4,3372,33,5667,25,18901
TCGA-SKCM,32,3599,75,5817,17,17728
TCGA-STAD,6,2795,15,6262,20,18647
